Accuracy,Precision,Recall,F1-Score,TP,TN,FP,FN,Algorithm,Ngrams,Feature Extraction,Training Dataset,Test Dataset,Test Distribution,F_Question_mark,Binary Representation,Stop words,Additional Settings,Fitting Time,Prediction Time
0.8823209921245587,0.8812939778854062,0.9998963193364437,0.9368564212162425,9644.0,103.0,1299.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,english,False,3.4642491340637207,8.084598779678345
0.5261406844106464,0.5252380952380953,1.0,0.6887293162660006,1103.0,4.0,997.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,False,english,False,3.4642491340637207,0.8716990947723389
0.9047705259346429,0.9029353840382631,0.9982374287195438,0.9481977545794761,9628.0,367.0,1035.0,17.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,,True,2.7926104068756104,6.665063381195068
0.9047705259346429,0.9029353840382631,0.9982374287195438,0.9481977545794761,9628.0,367.0,1035.0,17.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,,True,2.7926104068756104,6.6544835567474365
0.532319391634981,0.528564570331253,0.9981867633726201,0.6911487758945386,1101.0,19.0,982.0,2.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,False,,True,2.7926104068756104,0.6782162189483643
0.8812347243595546,0.8803286170698311,0.9998963193364437,0.9363106796116505,9644.0,91.0,1311.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,,False,3.76125168800354,8.918220520019531
0.8812347243595546,0.8803286170698311,0.9998963193364437,0.9363106796116505,9644.0,91.0,1311.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,False,,False,3.76125168800354,8.831031560897827
0.5261406844106464,0.5252380952380953,1.0,0.6887293162660006,1103.0,4.0,997.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,False,,False,3.76125168800354,1.068049430847168
0.9035032135421381,0.9016009736916019,0.9984447900466563,0.9475548558496506,9630.0,351.0,1051.0,15.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,english,True,3.3705692291259766,6.447069406509399
0.9035032135421381,0.9016009736916019,0.9984447900466563,0.9475548558496506,9630.0,351.0,1051.0,15.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,english,True,3.3705692291259766,6.282999515533447
0.5342205323193916,0.5295530994714079,0.99909338168631,0.6922110552763819,1102.0,22.0,979.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,True,english,True,3.3705692291259766,0.6693065166473389
0.8804200235358016,0.8796059832178037,0.9998963193364437,0.9359017904798874,9644.0,82.0,1320.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,english,False,3.5222060680389404,8.1652352809906
0.8804200235358016,0.8796059832178037,0.9998963193364437,0.9359017904798874,9644.0,82.0,1320.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,english,False,3.5222060680389404,8.374385356903076
0.526615969581749,0.525488327775131,1.0,0.68894440974391,1103.0,5.0,996.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,True,english,False,3.5222060680389404,0.9617125988006592
0.9038653027971395,0.9016378100140384,0.9988595127008812,0.9477619281849483,9634.0,351.0,1051.0,11.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,,True,3.7725636959075928,7.460561513900757
0.9038653027971395,0.9016378100140384,0.9988595127008812,0.9477619281849483,9634.0,351.0,1051.0,11.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,,True,3.7725636959075928,7.1982245445251465
0.530893536121673,0.5278044103547459,0.9981867633726201,0.6904985888993413,1101.0,16.0,985.0,2.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,True,,True,3.7725636959075928,0.7419722080230713
0.8793337557707975,0.8785753324831481,1.0,0.9353634291810115,9645.0,69.0,1333.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,,False,3.7068276405334473,8.772550106048584
